,index,Room_T,RH,Teff,actual,predicted
625,2213,27,80,29.5,0.1,0.39
626,2543,31,90,29.6,1.7,1.53
627,1754,30,70,29.6,0.7,0.21
628,2788,27,95,29.6,0.3,0.73
629,1779,28,70,29.6,0.1,0.26
630,2923,32,100,29.6,2.1,2.05
631,2974,28,100,29.7,1.1,1.41
632,1912,34,75,29.7,1.5,1.35
633,2394,27,85,29.7,0.0,0.48
634,1503,33,65,29.8,0.9,0.73
635,2777,28,95,29.8,0.9,1.03
636,2148,32,80,29.9,1.1,1.09
637,70,30,30,30.0,0.0,0.03
638,2108,35,80,30.0,1.5,1.85
639,1095,32,55,30.0,0.5,0.21
640,910,30,50,30.0,0.0,0.1
641,44,32,30,30.0,0.3,0.1
642,2188,29,80,30.1,0.7,0.2
643,661,33,45,30.1,0.5,0.16
644,634,35,45,30.2,0.7,0.31
645,674,32,45,30.2,0.3,0.1
646,1977,29,75,30.2,0.5,0.4
647,2590,27,90,30.2,0.0,0.64
648,1989,28,75,30.3,0.1,0.3
649,2739,31,95,30.3,1.7,1.71
650,2542,31,90,30.4,1.5,1.42
651,1068,34,55,30.4,0.7,0.37
652,2569,29,90,30.4,1.3,0.79
653,687,31,45,30.4,0.1,0.1
654,2766,29,95,30.5,1.5,1.17
655,2776,28,95,30.5,0.7,0.81
656,1489,34,65,30.5,0.9,0.74
657,2579,28,90,30.6,0.5,0.56
658,1753,30,70,30.6,0.5,0.37
659,2949,30,100,30.7,1.7,1.64
660,1988,28,75,30.7,0.0,0.19
661,2555,30,90,30.8,1.3,1.03
662,1318,31,60,30.8,0.3,0.19
663,2382,28,85,30.8,0.3,0.59
664,227,34,35,30.8,0.5,0.1
665,2161,31,80,30.8,0.9,0.56
666,30,33,30,31.0,0.3,0.1
667,1081,33,55,31.0,0.5,0.3
668,896,31,50,31.0,0.0,0.1
669,686,31,45,31.0,0.0,0.1
670,476,31,40,31.0,0.0,0.1
671,2106,35,80,31.1,1.1,1.63
672,2725,32,95,31.1,1.7,1.73
673,1330,30,60,31.2,0.0,0.1
674,2568,29,90,31.2,1.1,0.6
675,2765,29,95,31.2,1.3,0.96
676,2578,28,90,31.4,0.3,0.65
677,463,32,40,31.4,0.1,0.1
678,2331,32,85,31.4,1.3,1.15
679,253,32,35,31.4,0.1,0.1
680,2147,32,80,31.5,0.9,0.71
681,1106,31,55,31.6,0.0,0.1
682,2357,30,85,31.7,0.9,0.74
683,1515,32,65,31.7,0.5,0.37
684,672,32,45,32.0,0.0,0.1
685,2764,29,95,32.0,1.1,0.89
686,252,32,35,32.0,0.0,0.08
687,882,32,50,32.0,0.0,0.1
688,2737,31,95,32.1,1.3,1.35
689,2527,32,90,32.1,1.3,1.33
690,1712,33,70,32.1,0.7,0.45
691,436,34,40,32.1,0.3,0.1
692,2577,28,90,32.1,0.1,0.55
693,226,34,35,32.1,0.3,0.1
694,1264,35,60,32.1,0.7,0.18
695,1093,32,55,32.2,0.1,0.1
696,1949,31,75,32.5,0.5,0.48
697,2576,28,90,32.5,0.0,0.5
698,1725,32,70,32.5,0.5,0.48
699,1303,32,60,32.9,0.1,0.1
